i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
6 1 0.2 2500 500 54840 32156 44693 32158 20632 20578 344201 195773 1081333 899258 2317355
7 1 0.2 2500 500 27009 14630 46567 14562 11505 11512 313241 171091 1957314 1647554 362375
8 1 0.2 2500 500 21469 12210 12182 12455 9452 9459 245443 138263 502250 412861 267166
9 1 0.2 2500 500 22227 12728 12673 12779 12240 12261 775515 486011 475043 394186 252089
10 1 0.2 2500 500 17330 9619 44608 9530 8061 8096 231196 128152 4691418 3966024 389447
1 1 0.2 3000 600 26211 15443 15393 15340 16390 16443 521445 302515 864064 713705 721806
2 1 0.2 3000 600 36782 22535 22089 22036 20661 20089 1785585 1161048 1307954 1122872 751046
3 1 0.2 3000 600 65539 39125 208373 38079 39246 38147 908509 562351 1538805 1298452 1336092
4 1 0.2 3000 600 30982 17790 17705 17591 10595 10621 798585 467483 2907932 2563196 621197
5 1 0.2 3000 600 48955 28635 62427 28381 19905 19892 755392 425412 1503488 1256263 603745
6 1 0.2 3000 600 126088 73669 129711 73225 52055 51324 2030257 1218294 1447744 1248437 2562809
7 1 0.2 3000 600 56450 30767 172267 30945 23825 23567 656844 372531 1256588 1024426 609464
8 1 0.2 3000 600 38912 20075 20548 26172 14053 14040 821667 485560 5865306 4885958 650279
9 1 0.2 3000 600 55674 31162 30949 31297 25493 25502 488094 279541 3411270 2807589 1378436
10 1 0.2 3000 600 117456 69882 220228 70651 39239 41388 594416 360171 5756461 4694976 2143928
1 1 0.2 3500 700 121837 64994 69599 64645 58322 58439 1770545 1035295 3125715 2497969 3370887
2 1 0.2 3500 700 46020 27625 370035 27868 16650 16737 4800661 2933323 3942075 3335461 845026
3 1 0.2 3500 700 122513 69128 290140 78577 47811 47543 1334587 778996 1865641 1536393 1412414
4 1 0.2 3500 700 56003 32255 75125 31925 19634 19691 1647037 958968 3748649 3114407 1546325
5 1 0.2 3500 700 69897 42386 88512 41850 33729 33271 1222051 678037 3131783 2631183 1217641
