mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
37 37 31 31 38 32 37
50601 39792 106360 109039 33608 79034 50601
216 228 157 163 187 163 216
4267 4494 5184 5352 4058 5265 4267
-1 -1 -1 -1 -1 -1 -1
177701 193945 269515 294871 170170 257920 177701
1705445 1915120 1872654 2092796 1562967 1612471 1612471
2032817891 2230303133 3501597402 3835388898 1821974292 2121637498 2121637498
1806308 1874032 3149511 3343468 1633758 2179295 1806308
42 42 65 65 43 62 42
78 76 78 77 65 77 78
85413 95721 94376 101453 75819 77710 85413
-1 -1 -1 -1 -1 -1 -1
440517 512577 812869 872125 397749 729941 440517
